Feature ID	Taxon	Consensus
0021706b1ca315556a24b6d5df927e5b	Eukaryota;Haptista;Haptophyta;Haptophyta_X;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_sp.;	0.625
0038f2eedf8cc7893a7a9a4330aa477c	Eukaryota;TSAR;Alveolata	0.75
003ba56d29607b45d8599085b8b69afa	Eukaryota;TSAR;Rhizaria;Radiolaria;RAD-B;RAD-B_X;RAD-B_X_Group-IVd;RAD-B_X_Group-IVd_X;RAD-B_X_Group-IVd_X_sp.;	0.714
004610d70fb6092436394ca4b09bf6fb	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-2;Dino-Group-II-Clade-2_X;Dino-Group-II-Clade-2_X_sp.;	0.714
004af7f8f83f24fb7b51d8335583e14a	Eukaryota;Obazoa;Opisthokonta	1.0
0053fa60aebebf5f5e6008c70425230c	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda	0.6
005422d292b2b94dc2b27f2d2a315d63	Eukaryota;Obazoa;Opisthokonta	0.75
006ff6967239ea9214b995a62f9e992f	Eukaryota;Cryptista;Cryptophyta;Cryptophyta_X;Cryptophyceae;Cryptomonadales;Cryptomonadales_X	0.625
007f4802641b6a63e91e1c2d6c4faec3	Eukaryota;Obazoa;Opisthokonta;Metazoa;Urochordata;Urochordata_X;Ascidiacea;Diplosoma	0.625
00825febb1bfcf09663540823a7feda5	Eukaryota;Obazoa;Opisthokonta	0.875
0085174c63b0e25f36387bb174e0b399	Eukaryota;Obazoa;Opisthokonta	0.778
008c8bf57bb109b0897ed51b5a8d9ffc	Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Peniculia;Parameciidae;Paramecium	0.571
0090f44ca3823118eaa7edd50bd5b733	Eukaryota;TSAR;Rhizaria;Cercozoa;Filosa-Imbricatea;Filosa-Imbricatea_X;Novel-clade-2;Novel-clade-2_X;Novel-clade-2_X_sp.;	0.556
0096383606d62694608b6d18b5fda8b7	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.75
00a6b0f4f86ee7bcbb7eaec28249e523	Eukaryota;TSAR;Stramenopiles;Bigyra;Opalozoa;Nanomonadea;MAST-3;MAST-3C;MAST-3C_sp.;	0.714
00a7644717d8deb54748cce46a6f94aa	Eukaryota;TSAR;Alveolata	0.625
00c1a4017e0388c741316ee937481729	Eukaryota	1.0
0106a51afe28b0a0224c420a016fe03f	Eukaryota;TSAR;Alveolata;Dinoflagellata	0.75
012189bb766f320bb109fdb8e0285123	Eukaryota;TSAR;Alveolata;Ciliophora;Spirotrichea;Choreotrichida-Tintinnina	0.714
