"Marker","Type","domain","kingdom","phylum","class","order","family","genus","species","ID","Reads","LogReads"
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Perciformes","Perciformes","Pomacentridae","Abudefduf","Abudefduf sordidus","Zotu10",26,3.25809653802148
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Chaetodontiformes","Chaetodontiformes","Chaetodontidae","Heniochus","Heniochus singularius","Zotu105",2,0.693147180559945
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Cichliformes","Cichliformes","Cichlidae","Sarotherodon","Sarotherodon melanotheron","Zotu108",56,4.02535169073515
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Clupeiformes","Clupeiformes","Clupeidae","Brevoortia","Brevoortia tyrannus","Zotu111",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Clupeiformes","Clupeiformes","Clupeidae","Herklotsichthys","Herklotsichthys quadrimaculatus","Zotu114",2185,7.68937110752969
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Clupeiformes","Clupeiformes","Clupeidae","Sardinops","","Zotu117",24,3.17805383034795
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Clupeiformes","Clupeiformes","Engraulidae","","","Zotu119",26,3.25809653802148
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Clupeiformes","Clupeiformes","Engraulidae","Encrasicholina","Encrasicholina purpurea","Zotu121",35,3.55534806148941
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Cyprinodontiformes","Cyprinodontiformes","Poeciliidae","Gambusia","Gambusia affinis","Zotu124",9,2.19722457733622
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Cyprinodontiformes","Cyprinodontiformes","Poeciliidae","Poecilia","Poecilia sp. MR-2020","Zotu126",99,4.59511985013459
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Gobiiformes","Gobiiformes","Gobiidae","Asterropteryx","Asterropteryx semipunctata","Zotu139",468,6.14846829591765
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Perciformes","Perciformes","Pomacentridae","Dascyllus","","Zotu14",8,2.07944154167984
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Gobiiformes","Gobiiformes","Gobiidae","Bathygobius","Bathygobius cocosensis","Zotu140",21,3.04452243772342
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Gobiiformes","Gobiiformes","Gobiidae","Gnatholepis","Gnatholepis anjerensis","Zotu141",30,3.40119738166216
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Gobiiformes","Gobiiformes","Gobiidae","Psilogobius","Psilogobius mainlandi","Zotu145",316,5.75574221358691
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Holocentriformes","Holocentriformes","Holocentridae","Neoniphon","Neoniphon sammara","Zotu153",3,1.09861228866811
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Holocentriformes","Holocentriformes","Holocentridae","Plectrypops","Plectrypops lima","Zotu154",3,1.09861228866811
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Holocentriformes","Holocentriformes","Holocentridae","Sargocentron","","Zotu155",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Labriformes","Labriformes","Labridae","Bodianus","","Zotu161",60,4.0943445622221
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Labriformes","Labriformes","Labridae","Chlorurus","","Zotu162",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanus","","Zotu169",53,3.97029191355212
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus bohar","Zotu170",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus fulvus","Zotu171",488,6.19031540585315
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Mugiliformes","Mugiliformes","Mugilidae","","","Zotu174",3,1.09861228866811
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Mugiliformes","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Zotu175",36,3.58351893845611
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Perciformes","Perciformes","Serranidae","Cephalopholis","Cephalopholis argus","Zotu183",36,3.58351893845611
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","","","Zotu20",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Scombriformes","Scombriformes","Scombridae","","","Zotu215",7959,8.98205864280585
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Scombriformes","Scombriformes","Scombridae","Acanthocybium","Acanthocybium solandri","Zotu216",13,2.56494935746154
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Syngnathiformes","Syngnathiformes","Mullidae","Mulloidichthys","Mulloidichthys flavolineatus","Zotu234",131,4.87519732320115
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Tetraodontiformes","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus reticulatus","Zotu246",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Tetraodontiformes","Tetraodontiformes","Monacanthidae","Cantherhines","Cantherhines dumerilii","Zotu253",2,0.693147180559945
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Tetraodontiformes","Tetraodontiformes","Tetraodontidae","Arothron","","Zotu260",9,2.19722457733622
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Tetraodontiformes","Tetraodontiformes","Tetraodontidae","Lagocephalus","Lagocephalus lagocephalus","Zotu262",2,0.693147180559945
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus triostegus","Zotu29",215,5.37063802812766
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","Acanthurus","Acanthurus xanthopterus","Zotu30",268,5.59098698051086
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","Naso","","Zotu35",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","Naso","Naso unicornis","Zotu37",7,1.94591014905531
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","Naso","Naso vlamingii","Zotu38",2,0.693147180559945
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","Zebrasoma","","Zotu40",30,3.40119738166216
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Acanthuriformes","Acanthuriformes","Acanthuridae","Zebrasoma","Zebrasoma velifer","Zotu41",17,2.83321334405622
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Albuliformes","Albuliformes","Albulidae","Albula","","Zotu43",9,2.19722457733622
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Albuliformes","Albuliformes","Albulidae","Albula","Albula glossodonta","Zotu44",6,1.79175946922805
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Anguilliformes","Anguilliformes","Muraenidae","Gymnothorax","Gymnothorax flavimarginatus","Zotu47",6,1.79175946922805
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Atheriniformes","Atheriniformes","Atherinidae","Atherinomorus","Atherinomorus insularum","Zotu50",298,5.6970934865054
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Beloniformes","Beloniformes","Exocoetidae","Cheilopogon","","Zotu55",4,1.38629436111989
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Blenniiformes","Blenniiformes","Blenniidae","Omobranchus","Omobranchus obliquus","Zotu63",71,4.26267987704132
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Carangiformes","Carangiformes","Carangidae","Atule","Atule mate","Zotu66",26,3.25809653802148
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Carangiformes","Carangiformes","Carangidae","Caranx","","Zotu67",117,4.76217393479776
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Carangiformes","Carangiformes","Carangidae","Decapterus","Decapterus muroadsi","Zotu72",1,0
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Carangiformes","Carangiformes","Carangidae","Gnathanodon","Gnathanodon speciosus","Zotu73",23,3.13549421592915
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Carangiformes","Carangiformes","Carangidae","Scomberoides","Scomberoides lysan","Zotu74",34,3.52636052461616
"Berry_16S","Shark_pen","Eukaryota","Metazoa","Chordata","Carangiformes","Carangiformes","Carangidae","Seriola","Seriola rivoliana","Zotu76",1,0
